x, y, th, stamp, 
2.814720630645752, -2.9072489738464355, 1.5488100932805517, 1728048857921666884, 
2.814720630645752, -2.9072489738464355, 1.5488097862076755, 1728048857963667142, 
2.814720630645752, -2.9072489738464355, 1.548810006228974, 1728048858014668216, 
2.8147213459014893, -2.9072484970092773, 1.548816362746802, 1728048858064686321, 
2.8147220611572266, -2.90724778175354, 1.5488235225893217, 1728048858110676453, 
2.8147225379943848, -2.907247304916382, 1.5488293457197815, 1728048858160778190, 
2.8147237300872803, -2.9072463512420654, 1.5488406911782122, 1728048858204092322, 
2.814720392227173, -2.9072489738464355, 1.5488092705400427, 1728048858252706666, 
2.8147220611572266, -2.907247543334961, 1.5488262600044556, 1728048858302723166, 
2.8147261142730713, -2.9072442054748535, 1.5488653134608674, 1728048858363749111, 
2.814727306365967, -2.907243251800537, 1.5488759284747486, 1728048858412625068, 
2.814725875854492, -2.9072444438934326, 1.548861198583997, 1728048858462684665, 
2.814727544784546, -2.907242774963379, 1.548879424016815, 1728048858510670129, 
2.8147242069244385, -2.907245397567749, 1.5488479285092973, 1728048858560779859, 
2.8147242069244385, -2.907245397567749, 1.5488479285092973, 1728048858603550278, 
2.8147261142730713, -2.9072439670562744, 1.5488655071465955, 1728048858674972356, 
2.8147261142730713, -2.9072439670562744, 1.5488655071465955, 1728048858702724265, 
2.8147268295288086, -2.907243490219116, 1.5488721063258013, 1728048858763806565, 
2.8147263526916504, -2.9072437286376953, 1.5488679358057262, 1728048858812577429, 
2.814725399017334, -2.9072444438934326, 1.5488591766027373, 1728048858862651461, 
2.814725875854492, -2.9072439670562744, 1.5488633829182388, 1728048858913667478, 
2.8147270679473877, -2.907243013381958, 1.5488761200948327, 1728048858959816447, 
2.8147270679473877, -2.907243013381958, 1.5488761200948327, 1728048859003967565, 
2.814732074737549, -2.9072389602661133, 1.5489244241722464, 1728048859073897867, 
2.814727306365967, -2.907242774963379, 1.5488779177003125, 1728048859119872979, 
2.814727306365967, -2.907242774963379, 1.5488779177003125, 1728048859163793047, 
2.8147284984588623, -2.9072418212890625, 1.548889473662415, 1728048859212567301, 
2.8147284984588623, -2.9072418212890625, 1.548889473662415, 1728048859262643107, 
2.814729690551758, -2.907240867614746, 1.5489016329896048, 1728048859313700227, 
2.8147287368774414, -2.9072415828704834, 1.5488926658495095, 1728048859358814524, 
2.8147287368774414, -2.9072415828704834, 1.5488923342157526, 1728048859403690759, 
2.814732551574707, -2.907238483428955, 1.5489306680959436, 1728048859454107952, 
2.8147311210632324, -2.9072396755218506, 1.548915960774399, 1728048859518731722, 
2.8147311210632324, -2.9072396755218506, 1.5489159607697842, 1728048859563679317, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048859613587539, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048859663647438, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048859712656954, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048859764795748, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048859803816720, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048859853744133, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048859903793427, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048859963853546, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860013569132, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860063651626, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860112652891, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860163701503, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860203291315, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860273409144, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860323729063, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860363715487, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860413572462, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860463767635, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860513666886, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860563824963, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860604133516, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860673327128, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860723705861, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860765804595, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860813581295, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860863660081, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860913662884, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048860963714769, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861004724797, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861073934029, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861123720512, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861164717307, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861213606331, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861263666362, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861313895678, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861363707922, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861404530161, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861453859136, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861523724013, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861563724290, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861613609102, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861663669874, 
2.8147377967834473, -2.9072341918945312, 1.5489808813189732, 1728048861713669765, 
2.814736843109131, -2.9072349071502686, 1.5489727520537808, 1728048861763761052, 
2.814736843109131, -2.9072349071502686, 1.5489727520537808, 1728048861803971068, 
2.814736843109131, -2.9072349071502686, 1.5489727520537808, 1728048861853209650, 
2.814736843109131, -2.9072349071502686, 1.5489727520537808, 1728048861924014071, 
2.814736843109131, -2.9072349071502686, 1.5489727520537808, 1728048861963837619, 
2.8147385120391846, -2.907233476638794, 1.5489893075699137, 1728048862014334242, 
2.8147385120391846, -2.907233476638794, 1.5489893075699137, 1728048862063712436, 
2.8147385120391846, -2.907233476638794, 1.5489893075699137, 1728048862113239661, 
2.8147385120391846, -2.907233476638794, 1.5489893075699137, 1728048862164140466, 
2.8147385120391846, -2.907233476638794, 1.5489893075699137, 1728048862203272835, 
2.8147366046905518, -2.9072349071502686, 1.5489710163664845, 1728048862273274441, 
2.81473445892334, -2.9072365760803223, 1.548950303776338, 1728048862323898048, 
2.8147363662719727, -2.9072351455688477, 1.5489673506570938, 1728048862363807483, 
2.8147358894348145, -2.907235622406006, 1.5489621315268813, 1728048862414194320, 
